source,target,id,link_type,betweenness_centrality,cluster_num,katz_centrality,maxflow,length,link_category,degree_centrality,eigenvector_centrality,closeness_centrality,cluster
P_B0,P_B1,P_L1,Power,0.0824261683725716,7,-0.02774603630005897,18.058576353839094,100.363,Power line,0.005718954248366014,3.399757731514032e-17,0.0007374980225072239,power7
P_B0,P_B79,P_L394,Power,0.05757924674844303,2,-0.043811892825349856,0.6624643945517379,56.033,Power line,0.005718954248366014,1.0817204882528649e-17,0.0007244779392799644,power2
P_B1,P_B2,P_L2,Power,0.06437730695814296,7,0.013581135932958824,17.638313703597344,183.23,Power line,0.004901960784313725,3.457825003587639e-17,0.0007559303530214026,power7
P_B2,P_B3,P_L3,Power,0.08054311870622273,7,0.0014001457207845382,16.372523991229382,199.139,Power line,0.004901960784313725,4.053703365488514e-18,0.0007803646984719094,power7
P_B3,P_B4,P_L4,Power,0.09108951491770212,7,-0.029408079176806212,15.137650690508623,165.686,Power line,0.004901960784313725,-1.699626716543655e-17,0.0008015678475106792,power7
P_B6,P_B7,P_L7,Power,0.056424477872203574,7,-0.012470517115011237,10.751033081385154,208.715,Power line,0.004084967320261438,-6.135406590395386e-19,0.0008676262188023213,power7
P_B6,P_B6S,P_L6S,Power,0.05614352925007894,7,-0.005862190351270007,10.900041609700105,211.105,Power line,0.0032679738562091504,1.6128571225931846e-17,0.0008473438209726434,power7
P_B7,P_B8,P_L8,Power,0.04489574402352087,2,-0.006890976385176433,6.171893340527862,195.947,Power line,0.004084967320261438,-9.687503155891828e-18,0.0008832929488725485,power2
P_B10,P_B11,P_L11,Power,0.055951571895135825,2,-0.016579152138346827,1.9397650821979642,199.139,Power line,0.006535947712418301,2.4812240361830166e-17,0.0008488671717550994,power2
P_B10,P_B16S,P_L16S,Power,0.057213514546036515,2,-0.03639279925293142,1.9848908702748642,198.338,Power line,0.004901960784313725,3.0062248360459737e-17,0.0008825908515511097,power2
P_B11,P_B12,P_L12,Power,0.04826275601106532,2,-0.018115487481951024,0.6518364399876639,208.715,Power line,0.005718954248366014,-2.006406020018972e-17,0.0008156444560830623,power2
P_B12,P_B13,P_L13,Power,0.047420768049600624,2,-0.015715210223313705,0.6312520304677807,189.581,Power line,0.004901960784313725,-2.4891529699141262e-17,0.0007844341109176981,power2
P_B13,P_B297S,P_L297S,Power,0.05281316005342465,2,-0.004081400652186163,1.7290062419733787e-13,195.549,Power line,0.004084967320261438,-2.6026399774433367e-17,0.0007558853482643665,power2
