source,target,closeness_centrality,length,link_category,betweenness_centrality,link_type,degree_centrality,maxflow,katz_centrality,id,eigenvector_centrality
P_B0,P_B1,0.0007428753616267251,100.363,Power line,0.03624974475314621,Power,0.005718954248366014,12.098737121656393,-0.025577666549336974,P_L1,3.271892158964791e-18
P_B0,P_B79,0.0007334195306527369,56.033,Power line,0.04921253252938953,Power,0.005718954248366014,4.792642617437348,-0.04039464064022086,P_L394,-2.2750083859452164e-18
P_B1,P_B2,0.0007592919842165606,183.23,Power line,0.029605609338665483,Power,0.004901960784313725,11.768194391908013,0.01251943971872206,P_L2,-9.65772845590015e-19
P_B2,P_B3,0.0007835557209551584,199.139,Power line,0.030118475816433347,Power,0.004901960784313725,9.411690521723965,0.0012898537924662789,P_L3,-4.173243213803992e-18
P_B3,P_B4,0.0008049946431780381,165.686,Power line,0.03391059160073535,Power,0.004901960784313725,8.110295095342156,-0.027110335994701303,P_L4,6.679310541080849e-19
P_B6,P_B7,0.0008709191514320849,208.715,Power line,0.042373693943723326,Power,0.004084967320261438,5.345566885854758,-0.011496717383211001,P_L7,5.895062491277363e-18
P_B6,P_B6S,0.0008505862963276763,211.105,Power line,0.04211374859595531,Power,0.0032679738562091504,5.381862102684147,-0.0054044226950308765,P_L6S,1.2927889852905473e-18
P_B7,P_B8,0.0008867768570791036,195.947,Power line,0.042524418133138675,Power,0.004084967320261438,3.5136092152417375,-0.0063528727208425,P_L8,5.486005167517552e-18
P_B10,P_B11,0.0008585578912847535,199.139,Power line,0.050167797872729826,Power,0.006535947712418301,1.0690007488310425,-0.015284516658767287,P_L11,-1.8299848901817704e-18
P_B10,P_B16S,0.0008898861002188379,198.338,Power line,0.05137666459813092,Power,0.004901960784313725,1.1105472892935742,-0.03355095253357567,P_L16S,-4.912055701534609e-18
P_B11,P_B12,0.0008276789192039047,208.715,Power line,0.05090766270700989,Power,0.005718954248366014,0.21026711108063026,-0.01670088240273426,P_L12,1.3169510433894181e-17
P_B12,P_B13,0.0007984905381409941,189.581,Power line,0.05009416531098117,Power,0.004901960784313725,0.19020639694913888,-0.014488038377951665,P_L13,6.109490510541197e-18
P_B13,P_B297S,0.0007716652377452429,195.549,Power line,0.05156233208615478,Power,0.004084967320261438,0.0,-0.003762691586330028,P_L297S,-2.7374848743662417e-18
P_B25,P_B26,0.0008900503725977264,168.872,Power line,0.037176858047906665,Power,0.007352941176470588,1.0731926083740813,-0.015885207998212317,P_L21,-1.7799767107466234e-17
P_B25,P_B20S,0.0008996148262540051,228.617,Power line,0.03737047553396359,Power,0.004901960784313725,1.1149315552565877,-0.0437377028564843,P_L20S,-1.3540190863685475e-17
P_B26,P_B27,0.0008838096684305368,208.746,Power line,0.04629063148696979,Power,0.006535947712418301,0.23231314195515965,-0.021694576735352123,P_L22,-1.631736054754777e-17
P_B29,P_B30,0.0008454360099441629,57.372,Power line,0.03921573923351893,Power,0.004901960784313725,0.8806623875292798,-0.002316622304663278,P_L25,4.4091399791526e-12
P_B29,P_B24S,0.0008654917169886444,130.641,Power line,0.04678278831063676,Power,0.004901960784313725,1.1812230762955247,-0.04609132730622022,P_L24S,2.4706728452343724e-13
P_B30,P_B31,0.0008309849042541333,76.467,Power line,0.038660423031517295,Power,0.004084967320261438,0.8803862955773064,0.0038920952143783032,P_L26,6.463116871690528e-11
P_B31,P_B32,0.0008094635347980505,124.3,Power line,0.041397270130382885,Power,0.005718954248366014,0.6841851997527156,-0.020880530197174764,P_L27,5.95964956792893e-10
P_B32,P_B34,0.0007801044076042897,149.782,Power line,0.014624030673060241,Power,0.006535947712418301,0.3994876120848545,-0.018169299190328923,P_L29,4.422464775063651e-09
P_B34,P_B36,0.0007497577783766329,138.606,Power line,0.011321922974919135,Power,0.005718954248366014,0.1092496626296625,-0.051356807775017874,P_L30,3.416448684074213e-08
P_B36,P_B37,0.0007233140651710535,156.122,Power line,0.0056947368816708,Power,0.005718954248366014,0.11531249581763316,-0.056939641794126514,P_L32,2.414333964322506e-07
P_B37,P_B267,0.0007144051491519766,399.181,Power line,0.028395283894807926,Power,0.006535947712418301,0.39530071521718907,0.0007287592508117037,P_L612,7.787347314280099e-07
P_B38,P_B39,0.000863231001059174,184.905,Power line,0.029341086369443613,Power,0.006535947712418301,1.4468210832907418,-0.013386694462228604,P_L34,7.110860188380556e-18
P_B38,P_B33S,0.0008741674216019425,190.378,Power line,0.03193129392056302,Power,0.004084967320261438,1.2086232688511669,-0.005465335095848936,P_L33S,6.865528203018281e-18
P_B39,P_B40,0.0008476277757334165,192.76,Power line,0.011284858344379419,Power,0.006535947712418301,0.08407561600419791,-0.03112655820084527,P_L35,3.469069155313237e-18
P_B41,P_B42,0.0008092966245896434,54.538,Power line,0.010111244021534396,Power,0.004901960784313725,1.1342833575569784,-0.01878581016156176,P_L37,7.362668264331494e-19
P_B41,P_B54,0.0008173870860062678,164.507,Power line,0.015467889589103872,Power,0.005718954248366014,1.13428335880484,-0.003211521143054778,P_L46,-1.5255936222760294e-18
P_B41,P_B36S,0.0008271036115484337,229.406,Power line,0.01461822163761338,Power,0.004084967320261438,0.0,-0.008792432430592346,P_L36S,-1.348426901558686e-18
P_B42,P_B43,0.0007804103850973761,205.53,Power line,0.00853176415626472,Power,0.004901960784313725,0.9838324635504071,-0.018490081185887627,P_L38,-3.0576636974198294e-18
P_B43,P_B44,0.0007421586890553457,207.098,Power line,0.010275021756953107,Power,0.004901960784313725,0.9526216566310939,0.0026225318592281895,P_L39,2.817771467983901e-19
P_B44,P_B45,0.0007141618614129428,205.53,Power line,0.010929927149184056,Power,0.005718954248366014,0.7264349071698629,0.0072424165109750945,P_L40,-2.4184822080037707e-18
P_B45,P_B46,0.0006933896016993657,211.488,Power line,0.008843523546808861,Power,0.006535947712418301,0.050501433046767435,-0.013214069785435396,P_L41,-1.8663163161195924e-18
P_B46,P_B47,0.0006786800670372775,188.042,Power line,0.011853897920748195,Power,0.004901960784313725,0.47463555457681167,-0.01941269684079536,P_L42,-3.611047579385876e-18
P_B47,P_B48,0.0006692500404100168,184.797,Power line,0.01177234720878479,Power,0.004901960784313725,0.4749053772351235,-7.770536800121453e-05,P_L43,-8.968414385945123e-18
P_B48,P_B49,0.0006631730490910626,195.953,Power line,0.02188529333428922,Power,0.004901960784313725,0.8802534188735742,0.006973754634244053,P_L44,-1.93571811043397e-17
P_B49,P_B50,0.0006670796231729112,156.153,Power line,0.022224355869107492,Power,0.004084967320261438,0.8812039147616427,-0.015002218548748884,P_L45,-4.7009319520001914e-17
P_B50,P_B51,0.0006651605562253812,233.654,Power line,0.10286862562000712,Power,0.005718954248366014,5.1232195756136125,-0.012516122248068775,P_L601,-5.83197495034447e-17
P_B50,P_B176,0.0006830585970151561,287.022,Power line,0.1043701647325597,Power,0.006535947712418301,4.204694551945621,-0.022875314571402995,P_L602,-6.012448315940394e-17
P_B54,P_B55,0.0008208330805864149,216.68,Power line,0.011121548391492014,Power,0.006535947712418301,1.3906148913438403,0.0007176353261724761,P_L47,-3.2408512138693247e-19
P_B55,P_B56,0.0008279858570561993,242.229,Power line,0.010278866592209801,Power,0.006535947712418301,1.8432486498244613,-0.007999830753577096,P_L48,2.086433190614643e-18
P_B56,P_B49S,0.0008375983028093034,182.018,Power line,0.012126659623810463,Power,0.004901960784313725,2.3041743244900355,-0.011719456166135771,P_L49S,3.3205527439566755e-18
P_B60,P_B59,0.0007190691193498214,83.045,Power line,0.07017747909303695,Power,0.004084967320261438,9.256565235686713,-0.02169326150807084,P_L50,3.5333011012206346e-18
P_B59,P_B58,0.0007018729760108688,189.124,Power line,0.019388220243745286,Power,0.004084967320261438,4.576249975558022,-0.003979688163376365,P_L51,3.9473894863923936e-18
P_B58,P_B57,0.000678382926291448,197.546,Power line,0.01891598086174574,Power,0.0032679738562091504,4.554555189685127,-0.00021621687758585932,P_L52,8.182057188023972e-18
P_B57,P_B61,0.0006611360427336034,121.28,Power line,0.018462900184894923,Power,0.004901960784313725,4.5318852626911825,-0.01239540535888663,P_L53,8.232095658223752e-18
P_B61,P_B62,0.0006423622277699613,286.756,Power line,0.017249841627731823,Power,0.006535947712418301,4.47796278555672,-0.020853538619435275,P_L54,3.3266120136616945e-17
P_B62,P_B63,0.0006219939854868689,191.174,Power line,0.016131836717027306,Power,0.005718954248366014,4.40563200245736,-0.01944645515732485,P_L55,4.134997569687953e-17
P_B63,P_B64,0.0006137446909599415,168.985,Power line,0.015395326557136527,Power,0.005718954248366014,4.364465723700543,-0.017789803186020418,P_L56,1.3124475755829068e-17
P_B64,P_B65,0.0006191364689694938,289.955,Power line,0.014310078009678807,Power,0.008169934640522876,4.325924526080247,-0.019144672782874628,P_L57,1.3526683710714196e-17
P_B65,P_B66,0.0006291488807861579,122.759,Power line,0.016001684751862987,Power,0.007352941176470588,4.21437696604371,-0.01674656042345069,P_L58,7.832413827737088e-18
P_B66,P_B67,0.0006380083245324156,208.715,Power line,0.039322695076362255,Power,0.004084967320261438,4.3796224262216885,-0.004831729665632355,P_L59,1.4768495487576096e-18
P_B69,P_B70,0.0006800525473118447,207.123,Power line,0.046968694997021436,Power,0.004901960784313725,1.8550171167910325,-0.01233098221509421,P_L62,6.602472256461816e-18
P_B69,P_B61S,0.0006646158213855268,210.284,Power line,0.04669913603843841,Power,0.0032679738562091504,1.8593943147818834,-0.004594579512702918,P_L61S,8.30200556383437e-18
P_B70,P_B71,0.0006990022499162936,197.642,Power line,0.050633851570718626,Power,0.004901960784313725,1.5345157555133637,-0.02502442927518624,P_L63,2.736529242609659e-18
P_B74,P_B75,0.0006848877989279286,262.855,Power line,0.008344289543820459,Power,0.008986928104575163,1.1352379910527852,-0.01516088883093384,P_L66,5.13724582908585e-06
P_B74,P_B65S,0.0007219887482651979,79.669,Power line,0.012594932748490021,Power,0.006535947712418301,1.2159668606673646,0.030030009483758495,P_L65S,1.1070155217540648e-06
P_B75,P_B76,0.0006421684661490793,208.715,Power line,0.00574130753477335,Power,0.008169934640522876,1.0731397949578927,-0.01225248946516133,P_L67,2.2698614090384942e-05
P_B76,P_B77,0.000612958441076914,259.674,Power line,0.0038993591058249476,Power,0.008169934640522876,1.0116438537265269,-0.011795941940854933,P_L68,8.917588254379603e-05
P_B77,P_B78,0.0005992984643415982,159.306,Power line,0.008185842045151394,Power,0.006535947712418301,1.861484351900289,-0.008760060524161558,P_L69,8.450736775580482e-05
P_B77,P_B341,0.0005724990348938237,402.344,Power line,0.0056625358476724025,Power,0.008169934640522876,0.8915011307686863,-0.012297248287149738,P_L617,0.00023676733558209147
P_B78,P_B282,0.0006255107301019247,449.6,Power line,0.009259384865599886,Power,0.005718954248366014,0.9157294984196277,-0.010422683831423456,P_L616,2.0846832671863585e-05
P_B79,P_B80,0.000712654373746789,200.89,Power line,0.04814496084994056,Power,0.005718954248366014,4.765645583455269,-0.024332421817993,P_L70,-1.0664222044625916e-17
P_B80,P_B81,0.0006814638327133184,280.451,Power line,0.04701847122210701,Power,0.006535947712418301,4.700771967897569,-0.023274784064792144,P_L71,-2.286130650896681e-17
P_B81,P_B82,0.0006572956834409495,242.145,Power line,0.04631535994524763,Power,0.006535947712418301,4.626638684015003,-0.024105324552549677,P_L72,-1.9809177194995894e-17
P_B82,P_B83,0.0006449101046383989,178.537,Power line,0.046223755371289144,Power,0.006535947712418301,4.557674346124799,-0.02589267566901985,P_L73,-1.6584436942868513e-17
P_B83,P_B84,0.000641213425107812,216.68,Power line,0.0464936599639856,Power,0.008169934640522876,4.496692299000669,-0.024211805124271707,P_L74,-1.980174768154248e-17
P_B84,P_B85,0.0006236940607730053,189.701,Power line,0.040641797083416704,Power,0.006535947712418301,0.2001393524226917,-0.00504185699853069,P_L75,-7.85544837519027e-18
P_B84,P_B96,0.0006356025317714476,175.237,Power line,0.0351445343762505,Power,0.008169934640522876,1.7468230795941957,-0.02483040927408932,P_L86,-1.198553618933583e-17
P_B84,P_B108,0.00064723032683471,176.276,Power line,0.045499908296652,Power,0.011437908496732027,2.4847164082480298,-0.023729320629764843,P_L822,-1.3335487644440763e-17
P_B85,P_B86,0.0005885069367938707,214.632,Power line,0.039370787377450985,Power,0.0032679738562091504,0.200094967730006,0.011890797851872857,P_L76,-2.124941642046806e-18
P_B86,P_B87,0.0005666889651622319,54.164,Power line,0.03809710993772509,Power,0.004901960784313725,0.20004428010685793,-0.04177817461120942,P_L77,-1.9728075638500117e-18
P_B87,P_B88,0.0005580762768458337,57.703,Power line,0.005388160472522343,Power,0.006535947712418301,0.030000418648821865,-0.07061685293083239,P_L78,-1.9194654894376436e-18
P_B87,P_B89,0.0005578390765760468,60.62,Power line,0.002699415703781513,Power,0.004901960784313725,0.010000070524459288,-0.06475931960819807,P_L79,-5.193704333583463e-19
P_B87,P_B90,0.0005513319611996708,152.967,Power line,0.029106671314359078,Power,0.008169934640522876,0.16003091964466898,-0.04360627181987366,P_L80,-3.1475499012889443e-19
P_B90,P_B91,0.000535969424515334,58.141,Power line,0.005388160472522343,Power,0.008169934640522876,0.0300004210757529,-0.024284925897534608,P_L81,-1.523968101451982e-18
P_B90,P_B92,0.0005358011547772537,60.536,Power line,0.005388160472522343,Power,0.008169934640522876,0.03000043404377302,-0.02644422326635136,P_L82,3.3019144322886276e-19
P_B90,P_B93,0.0005302178074924387,143.411,Power line,0.01471473354966987,Power,0.008169934640522876,0.08000661063396326,-0.020861641234865554,P_L83,2.6373762685369815e-20
P_B93,P_B94,0.0005170758948034452,48.738,Power line,0.005388160472522343,Power,0.006535947712418301,0.03000037009190354,-0.050697970720626394,P_L84,-1.1746030849187706e-18
P_B93,P_B95,0.0005165180918373286,57.35,Power line,0.006728531256252501,Power,0.007352941176470588,0.04000069636894944,-0.05170754556494604,P_L85,-7.264961092165008e-19
P_B96,P_B97,0.0006261589222577176,184.823,Power line,0.03430030605992397,Power,0.006535947712418301,1.7037405959774798,-0.027170103224170558,P_L87,-9.271332624343465e-18
P_B97,P_B98,0.0006200005820875872,181.637,Power line,0.0340296743697479,Power,0.006535947712418301,1.6606381571482962,-0.027100460481957273,P_L88,-6.514288472854932e-18
P_B98,P_B99,0.0006161659385603564,191.194,Power line,0.033924568850977894,Power,0.006535947712418301,1.6177319375005013,-0.026392907961350902,P_L89,-2.188252665184648e-18
P_B99,P_B100,0.0006145409406212836,181.609,Power line,0.034048242343812526,Power,0.006535947712418301,1.574819537769503,-0.025553140144744864,P_L90,9.87822494540226e-19
P_B100,P_B101,0.0006150928008083669,191.194,Power line,0.03435199690227654,Power,0.006535947712418301,1.5321891966765484,-0.031244776065163037,P_L91,-4.0053117769863975e-19
P_B101,P_B53,0.0006228474607545241,179.142,Power line,0.03554592240949114,Power,0.006535947712418301,1.489559780425697,-0.012429163270354149,P_L598,-6.07932024673659e-18
P_B102,P_B103,0.0007236465978558201,238.959,Power line,0.01546948395650578,Power,0.00980392156862745,2.1331050263127147,-0.023678528521397124,P_L92,-1.2214244106506691e-17
P_B102,P_B266S,0.0007571334944213187,134.216,Power line,0.018139342182999504,Power,0.006535947712418301,2.2168406014619966,-0.046645106248083906,P_L266S,-8.713610677744705e-18
P_B103,P_B104,0.0006891266034854057,267.653,Power line,0.01364177390927074,Power,0.008169934640522876,2.0469365434295077,-0.023925978144830953,P_L93,-7.887661352035535e-18
P_B104,P_B105,0.0006680170823397727,140.515,Power line,0.012977656883065727,Power,0.006535947712418301,2.000546009445527,-0.025245349439352707,P_L94,-7.866275907108493e-18
P_B105,P_B106,0.0006591968142113445,82.9,Power line,0.012641008307619923,Power,0.008169934640522876,1.9573221557611993,-0.028431701696619648,P_L95,-7.826217523747607e-19
P_B106,P_B107,0.000651533531905464,191.83,Power line,0.012364937185811825,Power,0.00980392156862745,1.8754966535881064,-0.028939443169014225,P_L96,2.782945403353977e-18
P_B107,P_B108,0.0006500172351164373,203.937,Power line,0.012757905245431507,Power,0.011437908496732027,1.791618558279645,-0.0261995793703885,P_L97,-5.5060863079857675e-18
P_B108,P_B109,0.0006475457947252614,172.051,Power line,0.028466821624483128,Power,0.011437908496732027,1.6203520680633425,-0.02737929378365585,P_L98,-1.6090696393712598e-19
P_B108,P_B121,0.0006606236291219271,214.963,Power line,0.04532692113303655,Power,0.013071895424836602,2.56592457973647,-0.023938994211529,P_L823,-2.4111800181130014e-18
P_B109,P_B110,0.0006374522347752996,188.089,Power line,0.027232708187441643,Power,0.00980392156862745,1.5377271606681144,-0.029177860764461657,P_L99,1.980422197512421e-17
P_B110,P_B111,0.0006307401145128316,172.08,Power line,0.026894532552604378,Power,0.00980392156862745,1.4551386372305732,-0.027275404802063634,P_L100,2.75749142332472e-17
P_B111,P_B112,0.0006265535296044034,194.458,Power line,0.026683106836484595,Power,0.00980392156862745,1.3730144713741699,-0.026492746639226433,P_L101,2.2587689236925932e-17
P_B112,P_B113,0.0006241737965855614,181.637,Power line,0.026720880735106544,Power,0.00980392156862745,1.2908750328868728,-0.027242534121763088,P_L102,1.4695903804169826e-17
P_B113,P_B114,0.0006237885285647218,175.266,Power line,0.02716383175991751,Power,0.008986928104575163,1.2091064306822938,-0.03139637096085729,P_L103,6.704499040964706e-18
P_B114,P_B53,0.0006269297726139027,93.994,Power line,0.027725528688037716,Power,0.007352941176470588,1.1476083506452912,-0.01058545830396455,P_L384,-2.9573511261013915e-18
P_B115,P_B116,0.0007463559594311992,242.166,Power line,0.015854842343838577,Power,0.00980392156862745,1.1209341421775916,-0.02765941098096727,P_L104,6.801637776070395e-18
P_B115,P_B267S,0.0007813839430111189,132.628,Power line,0.018612992316067053,Power,0.006535947712418301,1.2020462214781982,-0.0595140088070567,P_L267S,3.0235583004913544e-18
P_B116,P_B117,0.0007121483555135939,223.051,Power line,0.013988588436676755,Power,0.008986928104575163,1.0391690263965396,-0.028382176985778718,P_L105,7.394457495977615e-18
P_B117,P_B118,0.0006905710765241514,172.051,Power line,0.012947662137771775,Power,0.008169934640522876,0.9777700675660044,-0.028984561935998004,P_L106,2.892126624246071e-18
P_B118,P_B119,0.0006781967593933267,124.259,Power line,0.012443350387029813,Power,0.008169934640522876,0.9168133767844474,-0.031239002448513672,P_L107,3.670993805451463e-18
P_B119,P_B120,0.0006698684584518576,156.153,Power line,0.012355434361244498,Power,0.008169934640522876,0.8562058151004562,-0.029847309506946595,P_L108,3.5466463429625995e-18
P_B120,P_B121,0.0006669688514328049,162.492,Power line,0.012649101307189544,Power,0.010620915032679739,0.7955405533693654,-0.026435016696150206,P_L109,3.1637812405435268e-18
P_B121,P_B122,0.0006610535008294781,194.354,Power line,0.027315121361044418,Power,0.011437908496732027,1.5660142114248305,-0.025767295657812023,P_L110,7.086660362031403e-19
P_B121,P_B134,0.0006732884892966236,167.393,Power line,0.03880581138705482,Power,0.010620915032679739,1.7066631745195318,-0.022404748776133132,P_L824,1.1787195753438931e-17
P_B122,P_B123,0.0006495222226206661,187.981,Power line,0.026092679259203683,Power,0.008986928104575163,1.4832315309180177,-0.028658468502575078,P_L111,3.3257476644633322e-18
P_B123,P_B124,0.0006425294563859562,172.08,Power line,0.02583681128701481,Power,0.008986928104575163,1.4208122794024787,-0.030435095141987795,P_L112,3.2448404275510038e-18
P_B124,P_B125,0.0006382960357680606,181.721,Power line,0.025650395574896626,Power,0.00980392156862745,1.3387753639584465,-0.02953893543995306,P_L113,-2.365528108378996e-18
P_B125,P_B126,0.0006358255449579085,184.795,Power line,0.025713179477520175,Power,0.00980392156862745,1.256863413260973,-0.02795315538078075,P_L114,-5.3850395280887524e-18
P_B126,P_B127,0.000635392340018655,200.751,Power line,0.0261944791751336,Power,0.008986928104575163,1.1751479770044826,-0.029527257727688196,P_L115,-7.153717981761089e-18
P_B127,P_B52,0.0006407523686193597,103.577,Power line,0.026786855041495767,Power,0.007352941176470588,1.1135175907308226,-0.03747816765716489,P_L383,-1.2420249469013788e-17
P_B128,P_B129,0.0007634997150758817,255.014,Power line,0.04128137636076566,Power,0.006535947712418301,0.1928342652401995,-0.02457073399312304,P_L116,2.1476569102498275e-17
P_B128,P_B268S,0.0008004559028754567,116.692,Power line,0.04292724515750311,Power,0.004901960784313725,0.23287198179518084,-0.03364048899241312,P_L268S,7.439456095451838e-18
P_B129,P_B130,0.0007267219606963395,210.338,Power line,0.04026318221787413,Power,0.006535947712418301,0.152777723169235,-0.024049973760971843,P_L117,2.8150664186005755e-17
P_B130,P_B132,0.0007024111421402644,231.131,Power line,0.03955853549101933,Power,0.006535947712418301,0.11274822146344819,-0.02533411502984898,P_L118,3.3874242079042395e-17
P_B132,P_B133,0.0006863079674449891,180.192,Power line,0.039296990931789386,Power,0.006535947712418301,0.07273037014299405,-0.028482270278616405,P_L120,3.164974009934442e-17
P_B133,P_B134,0.000679775635338447,194.412,Power line,0.039467598237211556,Power,0.007352941176470588,0.032724401742275235,-0.024978976989314144,P_L121,1.6503000437519347e-17
P_B134,P_B135,0.0006711271157077258,187.988,Power line,0.015931468941743365,Power,0.007352941176470588,1.6965564136252151,-0.024603969978946955,P_L122,1.9696380647256838e-17
P_B135,P_B136,0.0006582088327353402,200.726,Power line,0.015183466615812992,Power,0.006535947712418301,1.6533995592047934,-0.027464148465917125,P_L123,1.640567081503708e-17
P_B136,P_B137,0.0006499948207099773,184.823,Power line,0.014987532773526078,Power,0.006535947712418301,1.610186822073684,-0.027006062976870214,P_L124,1.4962831496488276e-17
P_B137,P_B138,0.0006453404421633835,192.787,Power line,0.014929986317443645,Power,0.006535947712418301,1.5673707693454093,-0.026737903524649338,P_L125,8.699082528091365e-18
