source,target,maxflow,degree_centrality,link_type,closeness_centrality,eigenvector_centrality,id,length,betweenness_centrality,link_category,katz_centrality
P_B0,P_B1,18.05857635384572,0.005718954248366014,Power,0.0007374980225072239,-1.4138554988411333e-17,P_L1,100.363,0.0824261683725716,Power line,-0.02774603630005899
P_B0,P_B79,0.6624643945551122,0.005718954248366014,Power,0.0007244779392799644,-2.1811450485578697e-17,P_L394,56.033,0.05757924674844303,Power line,-0.04381189282534989
P_B1,P_B2,17.638313703604272,0.004901960784313725,Power,0.0007559303530214026,-2.2538245215700116e-18,P_L2,183.23,0.06437730695814296,Power line,0.013581135932958835
P_B2,P_B3,16.37252399123514,0.004901960784313725,Power,0.0007803646984719094,-1.0206235882412795e-18,P_L3,199.139,0.08054311870622273,Power line,0.001400145720784545
P_B3,P_B4,15.137650690512272,0.004901960784313725,Power,0.0008015678475106792,1.2220850917995623e-18,P_L4,165.686,0.09108951491770212,Power line,-0.02940807917680623
P_B6,P_B7,10.75103308138704,0.004084967320261438,Power,0.0008676262188023213,-2.5223339592306056e-17,P_L7,208.715,0.056424477872203574,Power line,-0.01247051711501124
P_B6,P_B6S,10.900041609701839,0.0032679738562091504,Power,0.0008473438209726434,-2.768558953777503e-17,P_L6S,211.105,0.05614352925007894,Power line,-0.0058621903512700085
P_B7,P_B8,6.171893340530287,0.004084967320261438,Power,0.0008832929488725485,-1.7838035037987776e-17,P_L8,195.947,0.04489574402352087,Power line,-0.006890976385176435
P_B10,P_B11,1.9397650821984873,0.006535947712418301,Power,0.0008488671717550994,1.843981527983499e-17,P_L11,199.139,0.055951571895135825,Power line,-0.016579152138346834
P_B10,P_B16S,1.9848908702755854,0.004901960784313725,Power,0.0008825908515511097,9.37610398006944e-18,P_L16S,198.338,0.057213514546036515,Power line,-0.036392799252931436
P_B11,P_B12,0.6518364399876257,0.005718954248366014,Power,0.0008156444560830623,1.2124069300501008e-17,P_L12,208.715,0.04826275601106532,Power line,-0.018115487481951024
P_B12,P_B13,0.6312520304675473,0.004901960784313725,Power,0.0007844341109176981,-6.063234108579352e-18,P_L13,189.581,0.047420768049600624,Power line,-0.015715210223313705
P_B13,P_B297S,2.0080238842706623e-13,0.004084967320261438,Power,0.0007558853482643665,-8.842386143931007e-18,P_L297S,195.549,0.05281316005342465,Power line,-0.004081400652186165
P_B25,P_B26,3.0505790530562864,0.007352941176470588,Power,0.0008799997959440479,-1.7894592044738787e-18,P_L21,168.872,0.04217015490685207,Power line,-0.017230723485166882
P_B25,P_B20S,3.104700633973292,0.004901960784313725,Power,0.0008924320907054805,7.235812685990479e-18,P_L20S,228.617,0.042526821926687344,Power line,-0.04744239193350737
P_B26,P_B27,2.279475808520504,0.006535947712418301,Power,0.0008689469614576503,-1.6232259849690558e-17,P_L22,208.746,0.04718510752282684,Power line,-0.023532159786428666
P_B29,P_B30,3.1749334004411542,0.004901960784313725,Power,0.0008186048680718945,2.4477158409959167e-18,P_L25,57.372,0.06988551499701444,Power line,-0.0032830728785940063
P_B29,P_B24S,3.9196298044515143,0.004901960784313725,Power,0.0008390682527095084,-8.220640002898044e-18,P_L24S,130.641,0.07595886865488383,Power line,-0.049693910873102015
P_B30,P_B31,3.1711101518136315,0.004084967320261438,Power,0.0008037127859216417,-2.2549553155310073e-18,P_L26,76.467,0.0693117870927668,Power line,0.003310490873011741
P_B31,P_B32,2.5245110238421327,0.005718954248366014,Power,0.0007811594364523165,-1.0497741281178788e-18,P_L27,124.3,0.06471149077713768,Power line,-0.022291381159217912
P_B32,P_B34,1.7877437425829465,0.006535947712418301,Power,0.0007497823150833513,-1.593836720682275e-17,P_L29,149.782,0.05816522165506828,Power line,-0.021007136966913368
P_B34,P_B36,1.0530620444212844,0.005718954248366014,Power,0.0007167733720650441,-1.887544233338511e-17,P_L30,138.606,0.04603359245818282,Power line,-0.04922827449560099
P_B36,P_B37,0.41054020340662156,0.004901960784313725,Power,0.0006835360685983508,-1.0106301618523832e-17,P_L32,156.122,0.022306573597354797,Power line,-0.05140203718380972
P_B38,P_B39,3.084481811230904,0.006535947712418301,Power,0.0008400788598470509,-4.295095090979071e-18,P_L34,184.905,0.057109256137350774,Power line,-0.014520579817716837
P_B38,P_B33S,2.375569147242854,0.004084967320261438,Power,0.0008493205431800868,-1.3305980222529987e-17,P_L33S,190.378,0.07104840398073292,Power line,-0.005928262179566607
P_B39,P_B40,0.32049775423735377,0.006535947712418301,Power,0.0008256487608604967,4.334227937790802e-18,P_L35,192.76,0.023021455978224626,Power line,-0.033763052864279525
P_B41,P_B42,2.0260270520215173,0.004901960784313725,Power,0.0007899403040640419,-3.1610760266157376e-17,P_L37,54.538,0.011806280902660544,Power line,0.014097119728397965
P_B41,P_B54,2.026027053198057,0.005718954248366014,Power,0.0008014902540846337,-2.997232941332249e-17,P_L46,164.507,0.017491493566013646,Power line,-0.0038108577005070902
P_B41,P_B36S,6.258158822976637e-15,0.004084967320261438,Power,0.0008071477895350563,-3.8072198040085194e-17,P_L36S,229.406,0.017475542829436464,Power line,-0.0182232546370391
P_B42,P_B43,1.8745847761219145,0.004901960784313725,Power,0.0007558731504124388,-3.604780410707688e-17,P_L38,205.53,0.010383544897451169,Power line,0.01657197191215146
P_B43,P_B44,1.8400058842035374,0.004901960784313725,Power,0.000705964915156021,-4.0887363462853636e-17,P_L39,207.098,0.012911622860407184,Power line,-0.029850774611064997
P_B44,P_B45,1.610494765476176,0.005718954248366014,Power,0.000661790300547647,-5.556448897636665e-17,P_L40,205.53,0.013009444052686179,Power line,-0.03011369238893619
P_B45,P_B46,0.931797503115067,0.006535947712418301,Power,0.0006215952003000857,-7.042803969003939e-17,P_L41,211.488,0.008378366533559022,Power line,0.015534266028205936
P_B46,P_B47,0.40547897621232243,0.004901960784313725,Power,0.0005864678656265657,-5.151504303867526e-17,P_L42,188.042,0.012402758130999237,Power line,0.017984148302558973
P_B47,P_B48,0.40528185569010605,0.004901960784313725,Power,0.0005568896083559399,-3.361942943855858e-17,P_L43,184.797,0.011612742281093652,Power line,-0.028021747026030577
P_B48,P_B49,5.229481162341565e-09,0.004901960784313725,Power,0.0005292987700504843,-2.011151653447847e-17,P_L44,195.953,0.0016535946929933422,Power line,-0.03314653510662518
P_B49,P_B50,3.6610136729359026e-10,0.0024509803921568627,Power,0.0005056478854396508,-6.4242991208031726e-18,P_L45,156.153,0.0008281312133767564,Power line,0.018389865284102046
P_B54,P_B55,2.2853455683007686,0.006535947712418301,Power,0.000810421512329632,-2.5253040704645503e-17,P_L47,216.68,0.011999319828842996,Power line,0.0010910218658002112
P_B55,P_B56,2.7425705702634535,0.006535947712418301,Power,0.0008221071390213882,-3.2896939987346337e-17,P_L48,242.229,0.010919322481596806,Power line,-0.008420660531846166
P_B56,P_B49S,3.2157776346171034,0.004901960784313725,Power,0.0008339157441950211,-2.567323875531765e-17,P_L49S,182.018,0.013169638135201998,Power line,-0.013102318125768092
P_B60,P_B59,8.542112183886823,0.004084967320261438,Power,0.0007117849250757447,-1.7252131024289818e-18,P_L50,83.045,0.05121795540318992,Power line,-0.023530943110263103
