Infrastructure,Meshness,Start node,End node,Action
Power,Medium,P_B308,P_B315,add
Power,Medium,P_B315,P_B321,add
Power,Medium,P_B321,P_B331,add
Power,Medium,P_B331,P_B346,add
Power,Medium,P_B101,P_B53,add
Power,Medium,P_B53,P_B52,add
Power,Medium,P_B52,P_B51,add
Power,Medium,P_B51,P_B50,add
Power,Medium,P_B50,P_B176,add
Power,Medium,P_B176,P_B185,add
Power,Medium,P_B185,P_B195,add
Power,Medium,P_B195,P_B209,add
Power,Medium,P_B209,P_B217,add
Power,Medium,P_B217,P_B225,add
Power,Medium,P_B225,P_B233,add
Power,Medium,P_B233,P_B241,add
Power,Medium,P_B241,P_B249,add
Power,Medium,P_B249,P_B257,add
Power,Medium,P_B37,P_B267,add
Power,Medium,P_B267,P_B20,add
Power,Medium,P_B20,P_B275,add
Power,Medium,P_B275,P_B282,add
Power,Medium,P_B282,P_B78,add
Power,Medium,P_B77,P_B341,add
Power,Medium,P_B341,P_B344,add
Power,High,P_B302,P_B309,add
Power,High,P_B311,P_B318,add
Power,High,P_B318,P_B327,add
Power,High,P_B327,P_B334,add
Power,High,P_B84,P_B108,add
Power,High,P_B108,P_B121,add
Power,High,P_B121,P_B134,add
Power,High,P_B172,P_B180,add
Power,High,P_B181,P_B190,add
Power,High,P_B190,P_B204,add
Power,High,P_B204,P_B213,add
Power,High,P_B213,P_B221,add
Power,High,P_B221,P_B229,add
Power,High,P_B229,P_B237,add
Power,High,P_B237,P_B245,add
Power,High,P_B245,P_B253,add
Transportation,Medium,T_J57,T_J56,remove
Transportation,Medium,T_J56,T_J55,remove
Transportation,Medium,T_J55,T_J54,remove
Transportation,Medium,T_J54,T_J53,remove
Transportation,Medium,T_J53,T_J52,remove
Transportation,Medium,T_J32,T_J31,remove
Transportation,Medium,T_J31,T_J30,remove
Transportation,Medium,T_J30,T_J29,remove
Transportation,Medium,T_J29,T_J28,remove
Transportation,Medium,T_J28,T_J27,remove
Transportation,Medium,T_J27,T_J26,remove
Transportation,Medium,T_J46,T_J44,remove
Transportation,Medium,T_J44,T_J43,remove
Transportation,Medium,T_J43,T_J42,remove
Transportation,Medium,T_J42,T_J41,remove
Transportation,Medium,T_J41,T_J40,remove
Transportation,Medium,T_J40,T_J39,remove
Transportation,Low,T_J10,T_J9,remove
Transportation,Low,T_J11,T_J10,remove
Transportation,Low,T_J12,T_J11,remove
Transportation,Low,T_J13,T_J12,remove
Transportation,Low,T_J14,T_J13,remove
Transportation,Low,T_J17,T_J18,remove
Transportation,Low,T_J18,T_J19,remove
Transportation,Low,T_J19,T_J20,remove
Transportation,Low,T_J59,T_J58,remove
Transportation,Low,T_J62,T_J63,remove
Transportation,Low,T_J63,T_J64,remove
Transportation,Low,T_J64,T_J65,remove
Transportation,Low,T_J51,T_J50,remove
Transportation,Low,T_J50,T_J49,remove
Transportation,Low,T_J48,T_J47,remove
Transportation,Low,T_J49,T_J48,remove
Water,High,W_JHY50,W_JHY61,add
Water,High,W_JHY61,W_JVN1065,add
Water,High,W_JVN1065,W_JHY31,add
Water,High,W_JHY31,W_JIN1199,add
Water,High,W_JHY58,W_JIN1279,add
Water,High,W_JIN1279,W_JIN1159,add
Water,High,W_JIN1159,W_JIN1515,add
Water,High,W_JIN1515,W_JIN1501,add
Water,High,W_JIN1062,W_JIN1031,add
Water,High,W_JIN1031,W_JHY38,add
Water,High,W_JHY38,W_JIN1051,add
Water,High,W_JIN1051,W_JHY12,add
Water,High,W_JIN1080,W_JHY64,add
Water,High,W_JIN901,W_JIN1534,add
Water,High,W_JIN1534,W_JIN1213,add
Water,High,W_JIN973,W_JIN835,add
Water,High,W_JIN835,W_JIN1606,add
