time,ecs,pcs
1.0,1.0,1.0
101.0,1.0,1.0
113.0,1.0,1.0
117.0,1.0,1.0
119.0,1.0,1.0
121.0,1.0,1.0
295.0,1.0,1.0
297.0,1.0,1.0
299.0,1.0,1.0
301.0,1.0,1.0
303.0,1.0,1.0
309.0,1.0,1.0
313.0,1.0,1.0
317.0,1.0,1.0
355.0,1.0,1.0
357.0,1.0,1.0
359.0,1.0,1.0
371.0,1.0,1.0
419.0,1.0,1.0
421.0,1.0,1.0
423.0,1.0,1.0
433.0,1.0,1.0
551.0,1.0,1.0
553.0,1.0,1.0
555.0,1.0,1.0
607.0,1.0,1.0
609.0,1.0,1.0
611.0,1.0,1.0
615.0,1.0,1.0
617.0,1.0,1.0
619.0,1.0,1.0
669.0,1.0,1.0
671.0,1.0,1.0
673.0,1.0,1.0
731.0,1.0,1.0
733.0,1.0,1.0
735.0,1.0,1.0
831.0,1.0,1.0
833.0,1.0,1.0
835.0,1.0,1.0
853.0,1.0,1.0
897.0,1.0,1.0
899.0,1.0,1.0
901.0,1.0,1.0
957.0,1.0,1.0
1021.0,1.0,1.0
1153.0,1.0,1.0
1209.0,1.0,1.0
