time_stamp,components,perf_level,component_state
60,W_PMA477,100,Functional
60,W_PMA476,100,Functional
60,W_PMA879,100,Functional
60,W_PMA1034,100,Functional
60,T_L158,100,Functional
60,T_L83,100,Functional
60,T_L39,100,Functional
6060,W_PMA1034,50,Service Disrupted
6060,W_PMA477,50,Service Disrupted
6060,W_PMA476,50,Service Disrupted
6060,T_L83,50,Service Disrupted
6060,T_L158,50,Service Disrupted
6060,T_L39,50,Service Disrupted
6060,W_PMA879,50,Service Disrupted
7260,T_L83,50,Service Disrupted
7260,W_PMA1034,50,Service Disrupted
7260,T_L158,50,Service Disrupted
7260,T_L39,50,Service Disrupted
7260,W_PMA476,50,Service Disrupted
7260,W_PMA879,50,Service Disrupted
7260,W_PMA477,50,Repairing
7320,T_L39,50,Service Disrupted
7320,T_L83,50,Service Disrupted
7320,W_PMA1034,50,Service Disrupted
7320,W_PMA879,50,Service Disrupted
7320,W_PMA476,50,Service Disrupted
7320,W_PMA477,50,Repairing
7320,T_L158,50,Repairing
21540,W_PMA1034,50,Service Disrupted
21540,W_PMA879,50,Service Disrupted
21540,T_L83,50,Service Disrupted
21540,T_L158,50,Repairing
21540,T_L39,50,Service Disrupted
21540,W_PMA476,50,Service Disrupted
21540,W_PMA477,50,Repairing
21660,T_L39,50,Service Disrupted
21660,T_L83,50,Service Disrupted
21660,T_L158,50,Repairing
21660,W_PMA1034,50,Service Disrupted
21660,W_PMA879,50,Service Disrupted
21660,W_PMA476,50,Service Disrupted
21660,W_PMA477,100,Service Restored
21780,T_L83,50,Service Disrupted
21780,T_L158,50,Repairing
21780,W_PMA1034,50,Service Disrupted
21780,W_PMA879,50,Service Disrupted
21780,W_PMA476,50,Service Disrupted
21780,W_PMA477,100,Service Restored
21780,T_L39,50,Service Disrupted
21900,T_L158,50,Repairing
21900,T_L39,50,Service Disrupted
21900,W_PMA879,50,Service Disrupted
21900,W_PMA1034,50,Service Disrupted
21900,W_PMA477,100,Service Restored
21900,W_PMA476,50,Service Disrupted
21900,T_L83,50,Service Disrupted
22260,W_PMA1034,50,Service Disrupted
22260,T_L158,50,Repairing
22260,T_L83,50,Service Disrupted
22260,W_PMA476,50,Repairing
22260,T_L39,50,Service Disrupted
22260,W_PMA879,50,Service Disrupted
22260,W_PMA477,100,Service Restored
36540,W_PMA476,50,Repairing
36540,W_PMA477,100,Service Restored
36540,W_PMA879,50,Service Disrupted
36540,W_PMA1034,50,Service Disrupted
36540,T_L158,50,Repairing
36540,T_L83,50,Service Disrupted
36540,T_L39,50,Service Disrupted
36660,W_PMA879,50,Service Disrupted
36660,T_L158,50,Repairing
36660,W_PMA476,100,Service Restored
36660,T_L83,50,Service Disrupted
36660,T_L39,50,Service Disrupted
36660,W_PMA477,100,Service Restored
36660,W_PMA1034,50,Service Disrupted
36780,T_L83,50,Service Disrupted
36780,T_L158,50,Repairing
36780,W_PMA1034,50,Service Disrupted
36780,T_L39,50,Service Disrupted
36780,W_PMA879,50,Service Disrupted
36780,W_PMA477,100,Service Restored
36780,W_PMA476,100,Service Restored
36900,W_PMA879,50,Service Disrupted
36900,T_L39,50,Service Disrupted
36900,T_L83,50,Service Disrupted
36900,T_L158,50,Repairing
36900,W_PMA1034,50,Service Disrupted
36900,W_PMA477,100,Service Restored
36900,W_PMA476,100,Service Restored
37500,W_PMA879,50,Repairing
37500,T_L39,50,Service Disrupted
37500,W_PMA477,100,Service Restored
37500,W_PMA476,100,Service Restored
37500,T_L158,50,Repairing
37500,T_L83,50,Service Disrupted
37500,W_PMA1034,50,Service Disrupted
51780,W_PMA477,100,Service Restored
51780,W_PMA1034,50,Service Disrupted
51780,W_PMA476,100,Service Restored
51780,W_PMA879,50,Repairing
51780,T_L39,50,Service Disrupted
51780,T_L158,50,Repairing
51780,T_L83,50,Service Disrupted
51900,T_L39,50,Service Disrupted
51900,T_L83,50,Service Disrupted
51900,T_L158,50,Repairing
51900,W_PMA1034,50,Service Disrupted
51900,W_PMA476,100,Service Restored
51900,W_PMA477,100,Service Restored
51900,W_PMA879,100,Service Restored
52020,W_PMA879,100,Service Restored
52020,W_PMA477,100,Service Restored
52020,W_PMA476,100,Service Restored
52020,W_PMA1034,50,Service Disrupted
52020,T_L158,50,Repairing
52020,T_L83,50,Service Disrupted
52020,T_L39,50,Service Disrupted
52140,W_PMA477,100,Service Restored
52140,W_PMA1034,50,Service Disrupted
52140,T_L158,50,Repairing
52140,T_L39,50,Service Disrupted
52140,W_PMA476,100,Service Restored
52140,T_L83,50,Service Disrupted
52140,W_PMA879,100,Service Restored
53160,W_PMA1034,50,Repairing
53160,W_PMA476,100,Service Restored
53160,W_PMA879,100,Service Restored
53160,T_L158,50,Repairing
53160,T_L83,50,Service Disrupted
53160,T_L39,50,Service Disrupted
53160,W_PMA477,100,Service Restored
53880,W_PMA477,100,Service Restored
53880,T_L83,50,Service Disrupted
53880,T_L158,50,Repairing
53880,W_PMA1034,50,Repairing
53880,W_PMA879,100,Service Restored
53880,T_L39,50,Service Disrupted
53880,W_PMA476,100,Service Restored
71040,T_L39,50,Service Disrupted
71040,W_PMA476,100,Service Restored
71040,W_PMA477,100,Service Restored
71040,T_L158,50,Repairing
71040,W_PMA879,100,Service Restored
71040,T_L83,50,Service Disrupted
71040,W_PMA1034,50,Repairing
71160,W_PMA1034,100,Service Restored
71160,T_L39,50,Service Disrupted
71160,T_L83,50,Service Disrupted
71160,T_L158,50,Repairing
71160,W_PMA879,100,Service Restored
71160,W_PMA477,100,Service Restored
71160,W_PMA476,100,Service Restored
71280,T_L39,50,Service Disrupted
71280,T_L83,50,Service Disrupted
71280,W_PMA879,100,Service Restored
71280,W_PMA476,100,Service Restored
