time_min,power_perf,water_perf
1.0,1.0,1.0
101.0,1.0,1.0
121.0,1.0,1.0
122.0,1.0,1.0
359.0,1.0,0.9996227183741416
361.0,1.0,0.9996220346418201
363.0,1.0,0.9996213509499156
365.0,1.0,0.9996206672983221
371.0,1.0,0.9996186165843544
609.0,1.0,0.999709769216887
611.0,1.0,0.9997089963867662
613.0,1.0,0.9997082233413382
615.0,1.0,0.9997074500798845
625.0,1.0,0.99970358050717
863.0,1.0,1.0
865.0,1.0,1.0
867.0,1.0,1.0
869.0,1.0,1.0
886.0,1.0,1.0
898.0,1.0,1.0
1184.0,1.0,1.0
1186.0,1.0,1.0
1188.0,1.0,1.0
1190.0,1.0,1.0
1560.0,1.0,1.0
1562.0,1.0,1.0
1564.0,1.0,1.0
1566.0,1.0,1.0
1582.0,1.0,1.0
1795.0,1.0,0.9996401817148437
2692.0,1.0,1.0
3020.0,1.0,1.0
3022.0,1.0,1.0
3024.0,1.0,1.0
3026.0,1.0,1.0
3044.0,1.0,0.9999999999999999
3589.0,1.0,1.0
4482.0,1.0,1.0
4484.0,1.0,0.9999999999999999
4486.0,1.0,0.9999999999999999
