time_min,water_loss
1.0,[0. 0. 0. 0.]
101.0,[0. 0. 0. 0.]
121.0,[0. 0. 0. 0.]
122.0,[0. 0. 0. 0.]
359.0,[0. 0. 0. 0.]
361.0,[0. 0. 0. 0.]
363.0,[0. 0. 0. 0.]
365.0,[0. 0. 0. 0.]
371.0,[0. 0. 0. 0.]
609.0,[0. 0. 0. 0.]
611.0,[0. 0. 0. 0.]
613.0,[0. 0. 0. 0.]
615.0,[0. 0. 0. 0.]
625.0,[0. 0. 0. 0.]
863.0,[0. 0. 0. 0.]
865.0,[0. 0. 0. 0.]
867.0,[0. 0. 0. 0.]
869.0,[0. 0. 0. 0.]
886.0,[0. 0. 0. 0.]
898.0,[0. 0. 0. 0.]
1184.0,[0. 0. 0. 0.]
1186.0,[0. 0. 0. 0.]
1188.0,[0. 0. 0. 0.]
1190.0,[0. 0. 0. 0.]
1560.0,[0. 0. 0. 0.]
1562.0,[0. 0. 0. 0.]
1564.0,[0. 0. 0. 0.]
1566.0,[0. 0. 0. 0.]
1582.0,[0. 0. 0. 0.]
1795.0,[0. 0. 0. 0.]
2692.0,[0. 0. 0. 0.]
3020.0,[0. 0. 0. 0.]
3022.0,[0. 0. 0. 0.]
3024.0,[0. 0. 0. 0.]
3026.0,[0. 0. 0. 0.]
3044.0,[0. 0. 0. 0.]
3589.0,[0. 0. 0. 0.]
4482.0,[0. 0. 0. 0.]
4484.0,[0. 0. 0. 0.]
4486.0,[0. 0. 0. 0.]
