Node	X	Y	;
T_J0	-9995142	4163130	;
T_J1	-9995991	4163189	;
T_J2	-9999900	4163155	;
T_J3	-9999946	4164695	;
T_J4	-10032936	4163158	;
T_J5	-10030174	4164778	;
T_J6	-9995977	4164675	;
T_J7	-9984092	4163724	;
T_J8	-9984163	4164732	;
T_J9	-10006074	4164557	;
T_J10	-10003658	4164666	;
T_J11	-10007771	4164662	;
T_J12	-10001886	4164682	;
T_J13	-9990050	4164675	;
T_J14	-9991997	4164708	;
T_J15	-9996057	4166658	;
T_J16	-10001923	4166651	;
T_J17	-10009729	4164751	;
T_J18	-10008125	4166629	;
T_J19	-9991995	4166700	;
T_J20	-10029510	4164695	;
T_J21	-10026353	4164807	;
T_J22	-10029506	4165573	;
T_J23	-10021549	4164744	;
T_J24	-9984180	4167690	;
T_J25	-10019605	4164774	;
T_J26	-10021553	4166744	;
T_J27	-10011729	4164748	;
T_J28	-10017626	4164780	;
T_J29	-10011722	4166678	;
T_J30	-10019040	4164757	;
T_J31	-10009744	4166686	;
T_J32	-10019607	4166751	;
T_J33	-10026346	4166723	;
T_J34	-10007437	4166679	;
T_J35	-10029453	4166664	;
T_J36	-10019030	4166719	;
T_J37	-9979198	4165551	;
T_J38	-9980803	4166858	;
T_J39	-10003863	4166640	;
T_J40	-10005390	4166691	;
T_J41	-9999961	4166656	;
T_J42	-10017638	4166760	;
T_J43	-10003877	4168623	;
T_J44	-9987915	4166669	;
T_J45	-10028397	4166780	;
T_J46	-10001811	4168629	;
T_J47	-9999980	4168643	;
T_J48	-9995973	4168891	;
T_J49	-10029657	4168832	;
T_J50	-10013685	4166743	;
T_J51	-9991988	4167606	;
T_J52	-10019051	4168709	;
T_J53	-9984097	4168357	;
T_J54	-10025055	4166757	;
T_J55	-10026551	4168665	;
T_J56	-10009560	4169114	;
T_J57	-10013687	4168858	;
T_J58	-10021549	4168703	;
T_J59	-10019594	4168706	;
T_J60	-10025000	4168607	;
T_J61	-10017662	4168725	;
T_J62	-10014718	4166761	;
T_J63	-10014740	4170984	;
T_J64	-9979566	4167725	;
T_J65	-9987921	4167317	;
T_J66	-9988163	4168251	;
T_J67	-9992007	4170342	;
T_J68	-9979594	4166738	;
T_J69	-9979144	4167758	;
T_J70	-9979550	4168678	;
T_J71	-9978637	4168641	;
T_J72	-9988132	4169734	;
T_J73	-9983632	4170180	;
T_J74	-10005908	4168655	;
T_J75	-10026779	4168765	;
T_J76	-10002764	4168639	;
T_J77	-10002764	4168639	;
T_J78	-10001395	4170631	;
T_J79	-9978489	4169980	;
T_J80	-10007765	4168682	;
T_J81	-10006095	4170763	;
T_J82	-9979678	4169958	;
T_J83	-10007807	4170753	;
T_J84	-10026426	4169345	;
T_J85	-10017692	4171167	;
T_J86	-10019650	4170298	;
T_J87	-10029444	4171472	;
T_J88	-10011699	4168908	;
T_J89	-9996017	4170411	;
T_J90	-9997489	4170575	;
T_J91	-9984144	4169085	;
T_J92	-9984161	4170152	;
T_J93	-10008474	4170813	;
T_J94	-10010684	4170967	;
T_J95	-10025416	4171424	;
