scenario,strategy,meshedness,water_crew,power_crew,transpo_crew,water_perf_ecs,water_perf_pcs,power_perf_ecs,power_perf_pcs,water_mains,power_lines,transpo_links,all_compons
point116,capacity,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point116,centrality,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point116,zone,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point116,capacity,low,1,1,1,79.787,27.156,0.0,0.0,1,0,0,1
point116,centrality,low,1,1,1,79.787,27.156,0.0,0.0,1,0,0,1
point116,zone,low,1,1,1,79.787,27.156,0.0,0.0,1,0,0,1
point116,capacity,med,1,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point116,centrality,med,1,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point116,zone,med,1,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point119,capacity,low,1,1,1,0.324,3.592,0.464,0.298,0,1,0,1
point119,centrality,low,1,1,1,0.324,3.592,0.464,0.298,0,1,0,1
point119,zone,low,1,1,1,0.324,3.592,0.464,0.298,0,1,0,1
point131,capacity,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point131,centrality,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point131,zone,high,1,1,1,0.0,0.0,0.0,0.0,0,0,1,1
point131,capacity,med,1,1,2,0.005,0.293,0.0,0.0,0,0,1,1
point131,centrality,med,1,1,2,0.005,0.293,0.0,0.0,0,0,1,1
point131,zone,med,1,1,2,0.005,0.293,0.0,0.0,0,0,1,1
point16,capacity,high,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point16,centrality,high,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point16,zone,high,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point16,capacity,med,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point16,centrality,med,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point16,zone,med,2,1,1,0.839,1.013,0.0,0.0,1,0,0,1
point169,capacity,high,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point169,centrality,high,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point169,zone,high,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point169,capacity,low,1,1,1,5.205,41.014,8.767,9.192,1,1,0,2
point169,centrality,low,1,1,1,5.205,41.014,8.767,9.192,1,1,0,2
point169,zone,low,1,1,1,5.205,41.014,8.767,9.192,1,1,0,2
point169,capacity,med,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point169,centrality,med,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point169,zone,med,2,1,1,0.008,0.003,0.0,0.0,1,0,0,1
point186,capacity,high,3,3,1,1.638,0.777,0.0,0.0,3,2,0,5
point186,centrality,high,3,3,1,1.638,0.777,0.0,0.0,3,2,0,5
point186,zone,high,3,3,1,1.638,0.777,0.0,0.0,3,2,0,5
point186,capacity,low,1,1,1,3.767,34.118,3.671,2.359,0,1,1,2
point186,centrality,low,1,1,1,3.767,34.118,3.671,2.359,0,1,1,2
point186,zone,low,1,1,1,3.767,34.118,3.671,2.359,0,1,1,2
point186,capacity,med,1,1,1,0.558,0.804,0.0,0.0,1,1,0,2
point186,centrality,med,1,1,1,0.558,0.804,0.0,0.0,1,1,0,2
point186,zone,med,1,1,1,0.558,0.804,0.0,0.0,1,1,0,2
point206,capacity,high,3,1,1,0.042,0.012,0.0,0.0,2,0,0,2
point206,centrality,high,3,1,1,0.042,0.012,0.0,0.0,2,0,0,2
point206,zone,high,3,1,1,0.042,0.012,0.0,0.0,2,0,0,2
point206,capacity,low,2,1,2,3.624,34.485,0.0,0.0,1,0,1,2
point206,centrality,low,2,1,2,3.624,34.485,0.0,0.0,1,0,1,2
point206,zone,low,2,1,2,3.624,34.485,0.0,0.0,1,0,1,2
point206,capacity,med,1,1,1,0.007,0.344,0.0,0.0,1,1,0,2
point206,centrality,med,1,1,1,0.007,0.344,0.0,0.0,1,1,0,2
point206,zone,med,1,1,1,0.007,0.344,0.0,0.0,1,1,0,2
point237,capacity,med,2,1,1,0.031,0.005,0.0,0.0,1,0,0,1
point237,centrality,med,2,1,1,0.031,0.005,0.0,0.0,1,0,0,1
point237,zone,med,2,1,1,0.031,0.005,0.0,0.0,1,0,0,1
point241,capacity,med,1,1,1,0.0,0.0,17.535,27.649,0,1,0,1
point241,centrality,med,1,1,1,0.0,0.0,17.535,27.649,0,1,0,1
point241,zone,med,1,1,1,0.0,0.0,17.535,27.649,0,1,0,1
point242,capacity,low,2,1,1,8.639,10.632,0.0,0.0,1,0,0,1
point242,centrality,low,2,1,1,8.639,10.632,0.0,0.0,1,0,0,1
point242,zone,low,2,1,1,8.639,10.632,0.0,0.0,1,0,0,1
point242,capacity,med,2,1,1,4.442,4.705,0.472,3.788,1,1,0,2
point242,centrality,med,2,1,1,4.442,4.705,0.472,3.788,1,1,0,2
point242,zone,med,2,1,1,4.442,4.705,0.472,3.788,1,1,0,2
point277,capacity,high,1,2,1,0.0,0.0,0.461,3.706,0,1,0,1
point277,centrality,high,1,2,1,0.0,0.0,0.461,3.706,0,1,0,1
point277,zone,high,1,2,1,0.0,0.0,0.461,3.706,0,1,0,1
point277,capacity,low,1,3,1,0.31,3.502,8.306,13.046,0,2,0,2
point277,centrality,low,1,3,1,0.31,3.502,8.306,13.046,0,2,0,2
point277,zone,low,1,3,1,0.31,3.502,8.306,13.046,0,2,0,2
point277,capacity,med,1,2,1,0.0,0.0,8.306,13.046,0,2,0,2
point277,centrality,med,1,2,1,0.0,0.0,8.306,13.046,0,2,0,2
point277,zone,med,1,2,1,0.0,0.0,8.306,13.046,0,2,0,2
point302,capacity,low,2,1,1,8.615,2.972,0.0,0.0,1,0,0,1
point302,centrality,low,2,1,1,8.615,2.972,0.0,0.0,1,0,0,1
