,scenario,resil_level,occurrence_rate,00,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,99
0,178217_6.85,wthigh_low_low,1.5848773e-08,5272505.796674529,148206.48325730197,1005005.505789308,1817127.60067925,862036.1789033416,383892.2018222186,69530.30109550568,206104.64943658945,88922.7041154519,83206.61121598374,15621.349529237825,82223.98835040702,43583.70902722536,326803.6272140845,15079.458161831844,99606.4835771292,25554.94449966177,0.0
1,178217_6.85,thigh_low_low,1.5848773e-08,5063710.695583729,144192.7208083505,972860.2485276712,1760528.2809134163,822662.6162808547,355622.06756576034,66335.0605685299,191833.4972551524,85277.36421423077,81285.81194008567,13245.569435434689,79412.28494373518,42450.725207439085,312887.33471415413,14662.052249344377,95942.46854395396,24512.59241561542,0.0
2,178217_6.85,low_low_low,1.5848773e-08,4789022.242926089,137975.76507393474,903139.0228354506,1638827.5118393116,801858.7276577058,326111.2114069904,62793.05949635533,190090.33756830252,82927.27156999186,76681.36528020179,13201.645577674664,75540.97704845485,40281.12170323152,309365.425382979,13839.497954423994,93118.68249184004,23270.62003923961,0.0
3,76548_7.05,thigh_low_low,1.0793573e-08,4533252.461706661,137850.0470626295,785349.4596864847,1572201.315709171,763627.7841615583,309877.85904274293,63714.91357166352,194505.0708674497,78653.38604700718,76095.9193438868,15098.663796875057,77128.01468390433,37858.628048021856,297210.174140597,14201.184802918324,87675.24549177695,22204.79524997406,0.0
4,76803_7.05,whigh_low_low,1.1369138e-08,4086932.5412919857,113994.59936129506,785335.3398088734,1403976.2322527603,667908.1912367855,290823.5245067367,53957.33892629827,159552.5350861838,69584.79859309696,65529.45362989167,11686.11143247758,63520.866331540325,34859.053058795966,255718.4007617309,11928.223170867066,78523.47579846917,20034.39733618273,0.0
5,76803_6.85,low_low_low,1.760871e-08,3968990.266077749,113048.01088512276,757344.7744979721,1349188.991108669,654231.6980254741,279177.26847278274,54787.37056224133,162611.94817780406,66839.9508076992,66504.92752370411,11075.714781550489,64059.00994014794,35049.20645842901,247923.30436622156,11778.035010140513,75591.88502568132,19778.17043410874,0.0
6,76803_7.05,thigh_low_low,1.1369138e-08,3641167.336611813,104880.52819837743,703222.4293461796,1246866.6793207943,611607.8156162711,249394.50714607016,48327.47684930232,137994.43217649654,61672.89770894499,57867.768276481074,9347.536247105316,57344.68953597076,31252.615895333805,222642.96502113948,10466.347961384608,70216.16253275156,18062.48477921039,0.0
7,177962_6.85,low_low_low,1.5046426e-08,3626704.040435894,104456.74056984944,658302.3420902047,1240022.5980661574,611122.3857088396,256005.27131910864,49273.25333291122,150722.53089658864,63260.79182273529,58927.763602650346,11761.447262938207,58478.05971571288,30093.31492851312,236078.90151760203,10540.90810850686,70223.1189980431,17434.612495532714,0.0
8,178217_6.65,wthigh_low_low,2.727266e-08,3589198.682044687,99714.14035614344,700554.5304902968,1229454.440651143,577101.9835941358,252689.35985792035,48507.36938593466,142136.5429237869,60865.15667008796,60352.239575775966,9442.562716058705,56038.71131426179,31646.6399797354,223547.23699319057,10660.975162923236,68850.31730290734,17636.47507038524,0.0
9,76803_6.85,whigh_low_low,1.760871e-08,3569512.063587873,102029.65482172417,678238.2339055893,1222559.273138665,597099.6579085448,247637.21580801607,46129.59211487017,140014.46942810662,61686.14681377351,56452.20035768435,9698.42913133611,55558.61807137803,29557.88329259587,226434.73572073388,10162.625401289915,68905.26635779999,17348.06131576546,0.0
