time_stamp	components	perf_level	component_state
0	W_PMA687	100	Functional
0	T_L168	100	Functional
0	T_L37	100	Functional
0	P_L345	100	Functional
0	P_L377	100	Functional
0	W_PMA770	100	Functional
0	P_L336	100	Functional
0	W_PMA833	100	Functional
0	W_PMA834	100	Functional
0	W_PMA856	100	Functional
0	W_PMA855	100	Functional
0	W_PMA737	100	Functional
6000	P_L377	50	Service Disrupted
6000	T_L37	50	Service Disrupted
6000	P_L345	50	Service Disrupted
6000	P_L336	50	Service Disrupted
6000	W_PMA770	50	Service Disrupted
6000	W_PMA687	50	Service Disrupted
6000	W_PMA833	50	Service Disrupted
6000	W_PMA834	50	Service Disrupted
6000	W_PMA856	50	Service Disrupted
6000	W_PMA855	50	Service Disrupted
6000	T_L168	50	Service Disrupted
6000	W_PMA737	50	Service Disrupted
6720	W_PMA833	50	Repairing
6720	W_PMA834	50	Repairing
6840	P_L345	50	Repairing
6960	T_L37	50	Repairing
6960	W_PMA687	50	Repairing
7080	P_L336	50	Repairing
7200	T_L168	50	Repairing
7200	W_PMA737	50	Repairing
7200	P_L377	50	Repairing
17640	W_PMA687	50	Repairing
17760	W_PMA687	100	Service Restored
17880	W_PMA737	50	Repairing
17880	W_PMA687	100	Service Restored
18000	W_PMA737	100	Service Restored
18120	W_PMA737	100	Service Restored
18360	W_PMA855	50	Repairing
24600	W_PMA834	50	Repairing
24600	W_PMA833	50	Repairing
24720	W_PMA834	100	Service Restored
24720	P_L345	50	Repairing
24720	W_PMA833	100	Service Restored
24840	W_PMA834	100	Service Restored
24840	W_PMA833	100	Service Restored
24840	P_L345	100	Service Restored
24960	P_L336	50	Repairing
24960	P_L345	100	Service Restored
25080	P_L336	100	Service Restored
25080	P_L377	50	Repairing
25200	P_L336	100	Service Restored
25200	P_L377	100	Service Restored
25320	P_L377	100	Service Restored
26160	W_PMA770	50	Repairing
32640	W_PMA855	50	Repairing
32760	W_PMA855	100	Service Restored
32880	W_PMA855	100	Service Restored
44040	W_PMA770	50	Repairing
44160	W_PMA770	100	Service Restored
44280	W_PMA770	100	Service Restored
50040	T_L37	50	Repairing
50160	T_L37	100	Service Restored
50280	T_L37	100	Service Restored
50280	T_L168	50	Repairing
50400	T_L168	100	Service Restored
50520	T_L168	100	Service Restored
51000	W_PMA856	50	Repairing
53760	W_PMA687	100	Service Restored
54000	W_PMA737	100	Service Restored
60720	W_PMA833	100	Service Restored
60720	W_PMA834	100	Service Restored
60840	P_L345	100	Service Restored
61080	P_L336	100	Service Restored
61200	P_L377	100	Service Restored
65280	W_PMA856	50	Repairing
65400	W_PMA856	100	Service Restored
65520	W_PMA856	100	Service Restored
68760	W_PMA855	100	Service Restored
80160	W_PMA770	100	Service Restored
86160	T_L37	100	Service Restored
86400	T_L168	100	Service Restored
101400	W_PMA856	100	Service Restored
